,Degree,Id,Label,Probability,Qid,Topic,b,betweenesscentrality,g,modularity_class,r,size,x,y
20,1.0,316.0,Lampe à incandescence halogène,0.10375863313674927,Q1114190,STEM.Physics,10.0,0.0,121.0,16.0,114.0,10.0,-14.543655,-12.76539
21,17.0,341.0,Amenhotep III,0.9890230894088745,Q42606,Culture.Biography.Biography*,135.0,5114.8996464852,134.0,13.0,0.0,31.492537,-10.848696,-14.589257
22,17.0,341.0,Amenhotep III,0.9783946871757507,Q42606,History_and_Society.History,135.0,5114.8996464852,134.0,13.0,0.0,31.492537,-10.848696,-14.589257
23,17.0,341.0,Amenhotep III,0.23371636867523193,Q42606,Culture.Biography.Women,135.0,5114.8996464852,134.0,13.0,0.0,31.492537,-10.848696,-14.589257
24,20.0,525.0,Conseil de sécurité des Nations unies,0.9304682612419128,Q37470,History_and_Society.Politics_and_government,107.0,192165.49125612964,0.0,6.0,253.0,35.52239,5.2798057,-0.8103743
25,20.0,525.0,Conseil de sécurité des Nations unies,0.6926519870758057,Q37470,History_and_Society.Society,107.0,192165.49125612964,0.0,6.0,253.0,35.52239,5.2798057,-0.8103743
26,20.0,525.0,Conseil de sécurité des Nations unies,0.23371636867523193,Q37470,History_and_Society.Business_and_economics,107.0,192165.49125612964,0.0,6.0,253.0,35.52239,5.2798057,-0.8103743
27,10.0,555.0,Collège en France,0.275139719247818,Q1459186,Culture.Biography.Women,192.0,68527.46800543356,192.0,8.0,192.0,22.089554,-24.395319,-24.931620000000002
28,10.0,555.0,Collège en France,0.1968362182378769,Q1459186,History_and_Society.Education,192.0,68527.46800543356,192.0,8.0,192.0,22.089554,-24.395319,-24.931620000000002
29,10.0,555.0,Collège en France,0.14805719256401062,Q1459186,Culture.Biography.Biography*,192.0,68527.46800543356,192.0,8.0,192.0,22.089554,-24.395319,-24.931620000000002
30,10.0,555.0,Collège en France,0.0,Q1459186,Geography.Regions.Europe.Western_Europe,192.0,68527.46800543356,192.0,8.0,192.0,22.089554,-24.395319,-24.931620000000002
31,10.0,555.0,Collège en France,0.0,Q1459186,Geography.Regions.Europe.Europe*,192.0,68527.46800543356,192.0,8.0,192.0,22.089554,-24.395319,-24.931620000000002
32,6.0,586.0,Château,0.9124462008476257,Q751876,Culture.Visual_arts.Visual_arts*,192.0,75408.72871548249,192.0,9.0,192.0,16.716417,13.026591999999999,21.663218
33,6.0,586.0,Château,0.8439050912857056,Q751876,Culture.Visual_arts.Architecture,192.0,75408.72871548249,192.0,9.0,192.0,16.716417,13.026591999999999,21.663218
34,6.0,586.0,Château,0.18714269995689392,Q751876,History_and_Society.History,192.0,75408.72871548249,192.0,9.0,192.0,16.716417,13.026591999999999,21.663218
35,6.0,586.0,Château,0.1778208613395691,Q751876,History_and_Society.Society,192.0,75408.72871548249,192.0,9.0,192.0,16.716417,13.026591999999999,21.663218
36,6.0,586.0,Château,0.0,Q751876,Geography.Regions.Europe.Western_Europe,192.0,75408.72871548249,192.0,9.0,192.0,16.716417,13.026591999999999,21.663218
37,2.0,591.0,Chimie organique,0.9783946871757507,Q11351,STEM.STEM*,192.0,2.5,192.0,9.0,192.0,11.343283999999999,19.722578,4.0417166
38,2.0,591.0,Chimie organique,0.7879412174224854,Q11351,STEM.Chemistry,192.0,2.5,192.0,9.0,192.0,11.343283999999999,19.722578,4.0417166
39,2.0,591.0,Chimie organique,0.14415885508060455,Q11351,STEM.Technology,192.0,2.5,192.0,9.0,192.0,11.343283999999999,19.722578,4.0417166
40,2.0,591.0,Chimie organique,0.10375863313674927,Q11351,History_and_Society.Society,192.0,2.5,192.0,9.0,192.0,11.343283999999999,19.722578,4.0417166
41,25.0,638.0,Corinne Lepage,0.9919480085372925,Q291341,Culture.Biography.Biography*,88.0,54452.69397634887,77.0,8.0,193.0,42.238808,-1.6324427,6.1709924
42,25.0,638.0,Corinne Lepage,0.8479777574539185,Q291341,History_and_Society.Politics_and_government,88.0,54452.69397634887,77.0,8.0,193.0,42.238808,-1.6324427,6.1709924
43,25.0,638.0,Corinne Lepage,0.8221991658210754,Q291341,Culture.Biography.Women,88.0,54452.69397634887,77.0,8.0,193.0,42.238808,-1.6324427,6.1709924
44,25.0,638.0,Corinne Lepage,0.37308721446990967,Q291341,Geography.Regions.Europe.Western_Europe,88.0,54452.69397634887,77.0,8.0,193.0,42.238808,-1.6324427,6.1709924
45,25.0,638.0,Corinne Lepage,0.3509628047943115,Q291341,Geography.Regions.Europe.Europe*,88.0,54452.69397634887,77.0,8.0,193.0,42.238808,-1.6324427,6.1709924
46,25.0,638.0,Corinne Lepage,0.1067005917429924,Q291341,History_and_Society.History,88.0,54452.69397634887,77.0,8.0,193.0,42.238808,-1.6324427,6.1709924
47,1.0,647.0,Liste des communes de la Charente-Maritime,1.0,Q327345,Compilation.List_Disambig,192.0,0.0,192.0,18.0,192.0,10.0,6.847831200000001,2.5269895
48,1.0,647.0,Liste des communes de la Charente-Maritime,0.49901001358032226,Q327345,Geography.Regions.Europe.Western_Europe,192.0,0.0,192.0,18.0,192.0,10.0,6.847831200000001,2.5269895
49,1.0,647.0,Liste des communes de la Charente-Maritime,0.49901001358032226,Q327345,Geography.Regions.Europe.Europe*,192.0,0.0,192.0,18.0,192.0,10.0,6.847831200000001,2.5269895
50,1.0,707.0,Confucianisme,0.8706072568893433,Q9581,Culture.Philosophy_and_religion,107.0,0.0,0.0,6.0,253.0,10.0,-18.433094,20.069817999999998
51,1.0,707.0,Confucianisme,0.21734751760959625,Q9581,History_and_Society.Politics_and_government,107.0,0.0,0.0,6.0,253.0,10.0,-18.433094,20.069817999999998
52,1.0,707.0,Confucianisme,0.1968362182378769,Q9581,History_and_Society.Society,107.0,0.0,0.0,6.0,253.0,10.0,-18.433094,20.069817999999998
53,1.0,707.0,Confucianisme,0.13661839067935944,Q9581,History_and_Society.History,107.0,0.0,0.0,6.0,253.0,10.0,-18.433094,20.069817999999998
54,1.0,707.0,Confucianisme,0.0,Q9581,Geography.Regions.Asia.Asia*,107.0,0.0,0.0,6.0,253.0,10.0,-18.433094,20.069817999999998
55,1.0,707.0,Confucianisme,0.0,Q9581,Geography.Regions.Asia.East_Asia,107.0,0.0,0.0,6.0,253.0,10.0,-18.433094,20.069817999999998
56,5.0,725.0,Cyberpunk,0.9935217499732971,Q174526,Culture.Media.Media*,47.0,24146.0,42.0,12.0,255.0,15.373135000000001,21.809832,-17.174393
57,5.0,725.0,Cyberpunk,0.6370407938957214,Q174526,Culture.Media.Entertainment,47.0,24146.0,42.0,12.0,255.0,15.373135000000001,21.809832,-17.174393
58,5.0,725.0,Cyberpunk,0.1824355274438858,Q174526,Culture.Internet_culture,47.0,24146.0,42.0,12.0,255.0,15.373135000000001,21.809832,-17.174393
59,5.0,725.0,Cyberpunk,0.1520422399044037,Q174526,Culture.Literature,47.0,24146.0,42.0,12.0,255.0,15.373135000000001,21.809832,-17.174393
60,5.0,725.0,Cyberpunk,0.10375863313674927,Q174526,Culture.Media.Films,47.0,24146.0,42.0,12.0,255.0,15.373135000000001,21.809832,-17.174393
61,1.0,844.0,Dagobert Ier,0.9963027834892273,Q109860,Culture.Biography.Biography*,0.0,0.0,129.0,11.0,152.0,10.0,6.0640554,-3.4198873
62,1.0,844.0,Dagobert Ier,0.9626831412315369,Q109860,History_and_Society.History,0.0,0.0,129.0,11.0,152.0,10.0,6.0640554,-3.4198873
63,1.0,844.0,Dagobert Ier,0.09167657995223999,Q109860,Geography.Regions.Europe.Western_Europe,0.0,0.0,129.0,11.0,152.0,10.0,6.0640554,-3.4198873
64,1.0,844.0,Dagobert Ier,0.0,Q109860,Geography.Regions.Europe.Europe*,0.0,0.0,129.0,11.0,152.0,10.0,6.0640554,-3.4198873
65,2.0,856.0,Dragon Quest,1.0000100135803223,Q615908,Culture.Internet_culture,192.0,0.0,192.0,36.0,192.0,11.343283999999999,8.545247999999999,-20.290909
66,2.0,856.0,Dragon Quest,1.0000100135803223,Q615908,Culture.Media.Video_games,192.0,0.0,192.0,36.0,192.0,11.343283999999999,8.545247999999999,-20.290909
67,2.0,856.0,Dragon Quest,0.9951046109199524,Q615908,Culture.Media.Media*,192.0,0.0,192.0,36.0,192.0,11.343283999999999,8.545247999999999,-20.290909
68,22.0,1080.0,Extrême droite,0.9867871999740601,Q204481,History_and_Society.Society,88.0,246358.54213752676,77.0,8.0,193.0,38.208954,16.69771,17.719089999999998
69,22.0,1080.0,Extrême droite,0.8840492963790894,Q204481,History_and_Society.Politics_and_government,88.0,246358.54213752676,77.0,8.0,193.0,38.208954,16.69771,17.719089999999998
70,22.0,1080.0,Extrême droite,0.29422497749328613,Q204481,Culture.Biography.Biography*,88.0,246358.54213752676,77.0,8.0,193.0,38.208954,16.69771,17.719089999999998
71,22.0,1080.0,Extrême droite,0.19194278120994568,Q204481,Culture.Philosophy_and_religion,88.0,246358.54213752676,77.0,8.0,193.0,38.208954,16.69771,17.719089999999998
72,22.0,1080.0,Extrême droite,0.15611489117145538,Q204481,History_and_Society.Business_and_economics,88.0,246358.54213752676,77.0,8.0,193.0,38.208954,16.69771,17.719089999999998
73,22.0,1080.0,Extrême droite,0.1520422399044037,Q204481,History_and_Society.History,88.0,246358.54213752676,77.0,8.0,193.0,38.208954,16.69771,17.719089999999998
74,22.0,1080.0,Extrême droite,0.0,Q204481,Geography.Regions.Europe.Europe*,88.0,246358.54213752676,77.0,8.0,193.0,38.208954,16.69771,17.719089999999998
75,22.0,1080.0,Extrême droite,0.0,Q204481,Geography.Regions.Europe.Southern_Europe,88.0,246358.54213752676,77.0,8.0,193.0,38.208954,16.69771,17.719089999999998
76,22.0,1080.0,Extrême droite,0.0,Q204481,Geography.Regions.Asia.Asia*,88.0,246358.54213752676,77.0,8.0,193.0,38.208954,16.69771,17.719089999999998
77,7.0,1153.0,Jeu de tir à la première personne,0.9626831412315369,Q185029,Culture.Media.Media*,192.0,11523.044556473671,192.0,36.0,192.0,18.059701999999998,6.388925599999999,-22.597359
78,7.0,1153.0,Jeu de tir à la première personne,0.9241518378257751,Q185029,Culture.Internet_culture,192.0,11523.044556473671,192.0,36.0,192.0,18.059701999999998,6.388925599999999,-22.597359
79,7.0,1153.0,Jeu de tir à la première personne,0.8903042674064636,Q185029,Culture.Media.Video_games,192.0,11523.044556473671,192.0,36.0,192.0,18.059701999999998,6.388925599999999,-22.597359
80,1.0,1178.0,Fanzine,0.5775054097175598,Q181298,Culture.Media.Media*,0.0,0.0,94.0,11.0,235.0,10.0,9.05043,-1.3829907
81,1.0,1178.0,Fanzine,0.16886694729328156,Q181298,STEM.STEM*,0.0,0.0,94.0,11.0,235.0,10.0,9.05043,-1.3829907
82,1.0,1178.0,Fanzine,0.13297423720359802,Q181298,Culture.Biography.Biography*,0.0,0.0,94.0,11.0,235.0,10.0,9.05043,-1.3829907
83,1.0,1178.0,Fanzine,0.0,Q181298,Geography.Regions.Europe.Europe*,0.0,0.0,94.0,11.0,235.0,10.0,9.05043,-1.3829907
84,4.0,1198.0,Ariane (fusée),0.7931159734725952,Q131535,STEM.STEM*,192.0,4832.0,192.0,9.0,192.0,14.029851,-20.37687,12.522260000000001
85,4.0,1198.0,Ariane (fusée),0.7826725244522095,Q131535,History_and_Society.Transportation,192.0,4832.0,192.0,9.0,192.0,14.029851,-20.37687,12.522260000000001
86,4.0,1198.0,Ariane (fusée),0.6442351341247559,Q131535,STEM.Technology,192.0,4832.0,192.0,9.0,192.0,14.029851,-20.37687,12.522260000000001
87,4.0,1198.0,Ariane (fusée),0.59267657995224,Q131535,STEM.Space,192.0,4832.0,192.0,9.0,192.0,14.029851,-20.37687,12.522260000000001
88,4.0,1198.0,Ariane (fusée),0.0,Q131535,Geography.Regions.Europe.Europe*,192.0,4832.0,192.0,9.0,192.0,14.029851,-20.37687,12.522260000000001
89,4.0,1198.0,Ariane (fusée),0.0,Q131535,Geography.Regions.Europe.Western_Europe,192.0,4832.0,192.0,9.0,192.0,14.029851,-20.37687,12.522260000000001
90,23.0,1211.0,Élection présidentielle française de 2002,1.0000100135803223,Q1129306,History_and_Society.Politics_and_government,88.0,39963.72114714225,77.0,8.0,193.0,39.552240000000005,3.5596652,-19.542157999999997
91,23.0,1211.0,Élection présidentielle française de 2002,0.32119916582107544,Q1129306,Geography.Regions.Europe.Western_Europe,88.0,39963.72114714225,77.0,8.0,193.0,39.552240000000005,3.5596652,-19.542157999999997
92,23.0,1211.0,Élection présidentielle française de 2002,0.2921159734725952,Q1129306,Geography.Regions.Europe.Europe*,88.0,39963.72114714225,77.0,8.0,193.0,39.552240000000005,3.5596652,-19.542157999999997
93,1.0,1331.0,Gérard Manset,0.996837317943573,Q3124164,Culture.Biography.Biography*,170.0,0.0,44.0,8.0,235.0,10.0,-0.84545964,-21.640625
94,1.0,1331.0,Gérard Manset,0.1713417043685913,Q3124164,Geography.Regions.Europe.Western_Europe,170.0,0.0,44.0,8.0,235.0,10.0,-0.84545964,-21.640625
95,1.0,1331.0,Gérard Manset,0.07650540971755981,Q3124164,Geography.Regions.Europe.Europe*,170.0,0.0,44.0,8.0,235.0,10.0,-0.84545964,-21.640625
96,21.0,1339.0,Greenpeace,0.6001983880996704,Q81307,History_and_Society.Society,88.0,62543.85554871412,77.0,8.0,193.0,36.86567,-3.2470613,-1.7041392
97,21.0,1339.0,Greenpeace,0.4688006341457367,Q81307,History_and_Society.Business_and_economics,88.0,62543.85554871412,77.0,8.0,193.0,36.86567,-3.2470613,-1.7041392
98,21.0,1339.0,Greenpeace,0.3923468291759491,Q81307,STEM.STEM*,88.0,62543.85554871412,77.0,8.0,193.0,36.86567,-3.2470613,-1.7041392
99,21.0,1339.0,Greenpeace,0.3629792034626007,Q81307,History_and_Society.Education,88.0,62543.85554871412,77.0,8.0,193.0,36.86567,-3.2470613,-1.7041392
100,21.0,1339.0,Greenpeace,0.1968362182378769,Q81307,STEM.Earth_and_environment,88.0,62543.85554871412,77.0,8.0,193.0,36.86567,-3.2470613,-1.7041392
101,21.0,1339.0,Greenpeace,0.1824355274438858,Q81307,History_and_Society.Politics_and_government,88.0,62543.85554871412,77.0,8.0,193.0,36.86567,-3.2470613,-1.7041392
102,21.0,1339.0,Greenpeace,0.0,Q81307,Geography.Regions.Europe.Europe*,88.0,62543.85554871412,77.0,8.0,193.0,36.86567,-3.2470613,-1.7041392
103,13.0,1362.0,Histoire du Japon,0.607673168182373,Q130436,History_and_Society.History,220.0,72685.71790509629,160.0,30.0,0.0,26.119404,5.729046,2.954205
104,13.0,1362.0,Histoire du Japon,0.4840529432296753,Q130436,Geography.Regions.Asia.East_Asia,220.0,72685.71790509629,160.0,30.0,0.0,26.119404,5.729046,2.954205
105,13.0,1362.0,Histoire du Japon,0.4780457487106323,Q130436,Geography.Regions.Asia.Asia*,220.0,72685.71790509629,160.0,30.0,0.0,26.119404,5.729046,2.954205
106,10.0,1384.0,Hewlett-Packard,0.9149109721183777,Q80978,History_and_Society.Business_and_economics,192.0,203756.2322292022,192.0,7.0,192.0,22.089554,-7.382937400000001,0.86177754
107,10.0,1384.0,Hewlett-Packard,0.8031837940216064,Q80978,STEM.STEM*,192.0,203756.2322292022,192.0,7.0,192.0,22.089554,-7.382937400000001,0.86177754
108,10.0,1384.0,Hewlett-Packard,0.771853506565094,Q80978,STEM.Computing,192.0,203756.2322292022,192.0,7.0,192.0,22.089554,-7.382937400000001,0.86177754
109,10.0,1384.0,Hewlett-Packard,0.275139719247818,Q80978,STEM.Technology,192.0,203756.2322292022,192.0,7.0,192.0,22.089554,-7.382937400000001,0.86177754
110,10.0,1384.0,Hewlett-Packard,0.0,Q80978,Geography.Regions.Americas.North_America,192.0,203756.2322292022,192.0,7.0,192.0,22.089554,-7.382937400000001,0.86177754
111,2.0,1391.0,Howard Carter,0.9954004287719727,Q133682,Culture.Biography.Biography*,135.0,104.10262046450012,134.0,13.0,0.0,11.343283999999999,9.309097,14.923966
112,2.0,1391.0,Howard Carter,0.839743971824646,Q133682,History_and_Society.History,135.0,104.10262046450012,134.0,13.0,0.0,11.343283999999999,9.309097,14.923966
113,2.0,1391.0,Howard Carter,0.21734751760959625,Q133682,History_and_Society.Society,135.0,104.10262046450012,134.0,13.0,0.0,11.343283999999999,9.309097,14.923966
114,2.0,1391.0,Howard Carter,0.10088862478733063,Q133682,STEM.STEM*,135.0,104.10262046450012,134.0,13.0,0.0,11.343283999999999,9.309097,14.923966
115,2.0,1391.0,Howard Carter,0.06886266374588013,Q133682,Geography.Regions.Europe.Europe*,135.0,104.10262046450012,134.0,13.0,0.0,11.343283999999999,9.309097,14.923966
116,2.0,1391.0,Howard Carter,0.0,Q133682,Geography.Regions.Europe.Northern_Europe,135.0,104.10262046450012,134.0,13.0,0.0,11.343283999999999,9.309097,14.923966
117,2.0,1445.0,Hongrois,0.9935217499732971,Q9067,Culture.Linguistics,220.0,28962.0,160.0,23.0,0.0,11.343283999999999,-4.4658976,-10.841707000000001
118,2.0,1445.0,Hongrois,0.48899643325805664,Q9067,Geography.Regions.Europe.Europe*,220.0,28962.0,160.0,23.0,0.0,11.343283999999999,-4.4658976,-10.841707000000001
119,2.0,1445.0,Hongrois,0.3509628047943115,Q9067,Geography.Regions.Europe.Eastern_Europe,220.0,28962.0,160.0,23.0,0.0,11.343283999999999,-4.4658976,-10.841707000000001
120,2.0,1445.0,Hongrois,0.0068218579292297354,Q9067,Geography.Regions.Europe.Southern_Europe,220.0,28962.0,160.0,23.0,0.0,11.343283999999999,-4.4658976,-10.841707000000001
121,4.0,1480.0,Homo habilis,0.9952548146247864,Q101373,STEM.STEM*,192.0,0.0,192.0,20.0,192.0,14.029851,-20.799757,8.609903
122,4.0,1480.0,Homo habilis,0.9669240117073059,Q101373,STEM.Biology,192.0,0.0,192.0,20.0,192.0,14.029851,-20.799757,8.609903
123,4.0,1480.0,Homo habilis,0.8267217874526978,Q101373,STEM.Earth_and_environment,192.0,0.0,192.0,20.0,192.0,14.029851,-20.799757,8.609903
124,4.0,1480.0,Homo habilis,0.771853506565094,Q101373,History_and_Society.Society,192.0,0.0,192.0,20.0,192.0,14.029851,-20.799757,8.609903
125,4.0,1480.0,Homo habilis,0.7057950496673584,Q101373,History_and_Society.History,192.0,0.0,192.0,20.0,192.0,14.029851,-20.799757,8.609903
126,4.0,1480.0,Homo habilis,0.0,Q101373,Geography.Regions.Africa.Africa*,192.0,0.0,192.0,20.0,192.0,14.029851,-20.799757,8.609903
127,6.0,1481.0,Homo erectus,0.9947898983955383,Q101362,STEM.STEM*,192.0,4696.913285401238,192.0,20.0,192.0,16.716417,24.485647,-15.918214
128,6.0,1481.0,Homo erectus,0.9814634323120117,Q101362,STEM.Biology,192.0,4696.913285401238,192.0,20.0,192.0,16.716417,24.485647,-15.918214
129,6.0,1481.0,Homo erectus,0.6370407938957214,Q101362,History_and_Society.History,192.0,4696.913285401238,192.0,20.0,192.0,16.716417,24.485647,-15.918214
130,6.0,1481.0,Homo erectus,0.5698626637458801,Q101362,STEM.Earth_and_environment,192.0,4696.913285401238,192.0,20.0,192.0,16.716417,24.485647,-15.918214
131,6.0,1481.0,Homo erectus,0.5078218579292297,Q101362,History_and_Society.Society,192.0,4696.913285401238,192.0,20.0,192.0,16.716417,24.485647,-15.918214
132,6.0,1481.0,Homo erectus,0.0,Q101362,Geography.Regions.Africa.Africa*,192.0,4696.913285401238,192.0,20.0,192.0,16.716417,24.485647,-15.918214
133,11.0,1483.0,Homme de Néandertal,0.9896818399429321,Q40171,STEM.STEM*,192.0,76728.14813536008,192.0,20.0,192.0,23.432835,-8.634295,-19.155142
134,11.0,1483.0,Homme de Néandertal,0.9511522054672241,Q40171,STEM.Biology,192.0,76728.14813536008,192.0,20.0,192.0,23.432835,-8.634295,-19.155142
135,11.0,1483.0,Homme de Néandertal,0.6001983880996704,Q40171,History_and_Society.Society,192.0,76728.14813536008,192.0,20.0,192.0,23.432835,-8.634295,-19.155142
136,11.0,1483.0,Homme de Néandertal,0.4532718360424042,Q40171,History_and_Society.History,192.0,76728.14813536008,192.0,20.0,192.0,23.432835,-8.634295,-19.155142
137,11.0,1483.0,Homme de Néandertal,0.40734341740608215,Q40171,STEM.Earth_and_environment,192.0,76728.14813536008,192.0,20.0,192.0,23.432835,-8.634295,-19.155142
138,11.0,1483.0,Homme de Néandertal,0.0,Q40171,Geography.Regions.Africa.Africa*,192.0,76728.14813536008,192.0,20.0,192.0,23.432835,-8.634295,-19.155142
139,3.0,1638.0,Jeu de rôle sur table,0.8740872144699097,Q1643932,Culture.Media.Entertainment,192.0,8597.911379279085,192.0,30.0,192.0,12.686567,-5.463466,21.259123000000002
140,3.0,1638.0,Jeu de rôle sur table,0.6723417043685913,Q1643932,Culture.Visual_arts.Visual_arts*,192.0,8597.911379279085,192.0,30.0,192.0,12.686567,-5.463466,21.259123000000002
141,3.0,1638.0,Jeu de rôle sur table,0.5775054097175598,Q1643932,Culture.Media.Media*,192.0,8597.911379279085,192.0,30.0,192.0,12.686567,-5.463466,21.259123000000002
142,3.0,1638.0,Jeu de rôle sur table,0.2814156115055084,Q1643932,Culture.Visual_arts.Comics_and_Anime,192.0,8597.911379279085,192.0,30.0,192.0,12.686567,-5.463466,21.259123000000002
143,3.0,1638.0,Jeu de rôle sur table,0.1732981950044632,Q1643932,Culture.Internet_culture,192.0,8597.911379279085,192.0,30.0,192.0,12.686567,-5.463466,21.259123000000002
144,3.0,1638.0,Jeu de rôle sur table,0.11280541121959686,Q1643932,Culture.Media.Films,192.0,8597.911379279085,192.0,30.0,192.0,12.686567,-5.463466,21.259123000000002
145,3.0,1638.0,Jeu de rôle sur table,0.0,Q1643932,Geography.Regions.Europe.Europe*,192.0,8597.911379279085,192.0,30.0,192.0,12.686567,-5.463466,21.259123000000002
146,3.0,1638.0,Jeu de rôle sur table,0.0,Q1643932,Geography.Regions.Europe.Eastern_Europe,192.0,8597.911379279085,192.0,30.0,192.0,12.686567,-5.463466,21.259123000000002
147,3.0,1644.0,John Woo,0.9996300339698792,Q55432,Culture.Biography.Biography*,0.0,15039.852944090493,94.0,17.0,235.0,12.686567,-17.018541,20.057748999999998
148,3.0,1644.0,John Woo,0.14323513412475586,Q55432,Geography.Regions.Asia.Asia*,0.0,15039.852944090493,94.0,17.0,235.0,12.686567,-17.018541,20.057748999999998
149,3.0,1644.0,John Woo,0.10667316818237305,Q55432,Geography.Regions.Asia.East_Asia,0.0,15039.852944090493,94.0,17.0,235.0,12.686567,-17.018541,20.057748999999998
150,3.0,1644.0,John Woo,0.0,Q55432,Geography.Regions.Americas.North_America,0.0,15039.852944090493,94.0,17.0,235.0,12.686567,-17.018541,20.057748999999998
151,4.0,1681.0,Kamikaze,0.2568419873714447,Q133194,History_and_Society.Military_and_warfare,88.0,78721.63677188207,77.0,20.0,193.0,14.029851,-5.1609263,16.658989000000002
152,4.0,1681.0,Kamikaze,0.23371636867523193,Q133194,STEM.STEM*,88.0,78721.63677188207,77.0,20.0,193.0,14.029851,-5.1609263,16.658989000000002
153,4.0,1681.0,Kamikaze,0.14805719256401062,Q133194,History_and_Society.Politics_and_government,88.0,78721.63677188207,77.0,20.0,193.0,14.029851,-5.1609263,16.658989000000002
154,4.0,1681.0,Kamikaze,0.10667316818237305,Q133194,Geography.Regions.Asia.East_Asia,88.0,78721.63677188207,77.0,20.0,193.0,14.029851,-5.1609263,16.658989000000002
155,4.0,1681.0,Kamikaze,0.10375863313674927,Q133194,History_and_Society.History,88.0,78721.63677188207,77.0,20.0,193.0,14.029851,-5.1609263,16.658989000000002
156,4.0,1681.0,Kamikaze,0.05348043346405029,Q133194,Geography.Regions.Asia.Asia*,88.0,78721.63677188207,77.0,20.0,193.0,14.029851,-5.1609263,16.658989000000002
157,26.0,1773.0,Les Verts (France),0.7879412174224854,Q743390,History_and_Society.Politics_and_government,88.0,10053.963089492425,77.0,8.0,193.0,43.58209,-21.324368,23.246006
158,26.0,1773.0,Les Verts (France),0.29719679260253906,Q743390,Geography.Regions.Europe.Europe*,88.0,10053.963089492425,77.0,8.0,193.0,43.58209,-21.324368,23.246006
159,26.0,1773.0,Les Verts (France),0.2689514458179474,Q743390,History_and_Society.Society,88.0,10053.963089492425,77.0,8.0,193.0,43.58209,-21.324368,23.246006
